date,rank,id,brand,name,price,badge,link
"2026-04-20","0","1107744417","Beauty of Joseon","Relief Sun: Rice + Probiotics","₩ 25,856","#1","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-rice-probiotics-50ml/info.html/pid.1107744417"
"2026-04-20","1","1130946339","celimax","The Vita-A Retinal Shot Tightening Booster","₩ 19,230","#2","https://www.yesstyle.com/en/celimax-the-vita-a-retinal-shot-tightening-booster-15ml/info.html/pid.1130946339"
"2026-04-20","2","1124698946","Dr. Althea","345 Relief Cream","₩ 43,632","#3","https://www.yesstyle.com/en/dr-althea-345-relief-cream-renewed-50ml/info.html/pid.1124698946"
"2026-04-20","3","1121503383","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Twin Pack","₩ 40,723","#4","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-twin-pack/info.html/pid.1121503383"
"2026-04-20","4","1113888108","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum","₩ 24,240","#5","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-50ml/info.html/pid.1113888108"
"2026-04-20","5","1130222654","Beauty of Joseon","Relief Sun Aqua-fresh","₩ 29,088","#6","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-aqua-fresh-50ml/info.html/pid.1130222654"
"2026-04-20","6","1124536886","APLB","Glutathione Niacinamide Sheet Mask","₩ 6,816","#7","https://www.yesstyle.com/en/aplb-glutathione-niacinamide-sheet-mask-25ml/info.html/pid.1124536886"
"2026-04-20","7","1129733663","Purito SEOUL","Mighty Bamboo Panthenol Cream","₩ 28,118","#8","https://www.yesstyle.com/en/purito-seoul-mighty-bamboo-panthenol-cream-100ml/info.html/pid.1129733663"
"2026-04-20","8","1136616200","Arencia","Vitamin C Booster Shot","₩ 21,654","#9","https://www.yesstyle.com/en/arencia-vitamin-c-booster-shot-30ml/info.html/pid.1136616200"
"2026-04-20","9","1132449411","Anua","Azelaic Acid 10 Hyaluron Redness Soothing Serum","₩ 32,482","#10","https://www.yesstyle.com/en/anua-azelaic-acid-10-hyaluron-redness-soothing-serum-30ml/info.html/pid.1132449411"
"2026-04-20","10","1105145092","Purito SEOUL","Oat-In Calming Gel Cream","₩ 25,210","#11","https://www.yesstyle.com/en/purito-seoul-oat-in-calming-gel-cream-100ml/info.html/pid.1105145092"
"2026-04-20","11","1133472805","APLB","Collagen EGF Peptide Sheet Mask","₩ 6,884","#12","https://www.yesstyle.com/en/aplb-collagen-egf-peptide-sheet-mask-25ml/info.html/pid.1133472805"
"2026-04-20","12","1077182361","SKIN1004","Madagascar Centella Light Cleansing Oil","₩ 32,320","#13","https://www.yesstyle.com/en/skin1004-madagascar-centella-light-cleansing-oil-200ml/info.html/pid.1077182361"
"2026-04-20","13","1120355496","Mary&May","Tranexamic Acid + Glutathione Eye Cream Mini","₩ 6,674","#14","https://www.yesstyle.com/en/mary-may-tranexamic-acid-glutathione-eye-cream-mini-12g/info.html/pid.1120355496"
"2026-04-20","14","1122974582","ROUND LAB","Birch Juice Moisturizing Sunscreen","₩ 22,947","#15","https://www.yesstyle.com/en/round-lab-birch-juice-moisturizing-sunscreen-50ml/info.html/pid.1122974582"
"2026-04-20","15","1137028002","Dr. Althea","345 Relief Cream Mini","₩ 15,998","#16","https://www.yesstyle.com/en/dr-althea-345-relief-cream-mini-15ml/info.html/pid.1137028002"
"2026-04-20","16","1067114916","SKIN1004","Madagascar Centella Asiatica 100 Ampoule","₩ 37,491","#17","https://www.yesstyle.com/en/skin1004-madagascar-centella-asiatica-100-ampoule-100ml/info.html/pid.1067114916"
"2026-04-20","17","1123474314","SKIN1004","Madagascar Centella Poremizing Quick Clay Stick Mask","₩ 25,371","#18","https://www.yesstyle.com/en/skin1004-madagascar-centella-poremizing-quick-clay-stick-mask-27g/info.html/pid.1123474314"
"2026-04-20","18","1131568455","EQQUALBERRY","Vitamin Illuminating Serum","₩ 35,714","#19","https://www.yesstyle.com/en/eqqualberry-vitamin-illuminating-serum-30ml/info.html/pid.1131568455"
