date,rank,id,brand,name,currency,priceNum,price,badge,reviewCount,link
"2026-04-21","0","1107744417","Beauty of Joseon","Relief Sun: Rice + Probiotics","USD","18","US$ 18.00","#1","25492","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-rice-probiotics-50ml/info.html/pid.1107744417"
"2026-04-21","1","1130946339","celimax","The Vita-A Retinal Shot Tightening Booster","USD","24","US$ 24.00","#2","9793","https://www.yesstyle.com/en/celimax-the-vita-a-retinal-shot-tightening-booster-15ml/info.html/pid.1130946339"
"2026-04-21","2","1124698946","Dr. Althea","345 Relief Cream","USD","27","US$ 27.00","#3","23342","https://www.yesstyle.com/en/dr-althea-345-relief-cream-renewed-50ml/info.html/pid.1124698946"
"2026-04-21","3","1121503383","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Twin Pack","USD","25.2","US$ 25.20","#4","23428","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-twin-pack/info.html/pid.1121503383"
"2026-04-21","4","1113888108","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum","USD","15","US$ 15.00","#5","29159","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-50ml/info.html/pid.1113888108"
"2026-04-21","5","1130222654","Beauty of Joseon","Relief Sun Aqua-fresh","USD","18","US$ 18.00","#6","6303","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-aqua-fresh-50ml/info.html/pid.1130222654"
"2026-04-21","6","1124536886","APLB","Glutathione Niacinamide Sheet Mask","USD","4.26","US$ 4.26","#7","10139","https://www.yesstyle.com/en/aplb-glutathione-niacinamide-sheet-mask-25ml/info.html/pid.1124536886"
"2026-04-21","7","1136616200","Arencia","Vitamin C Booster Shot","USD","24","US$ 24.00","#8","1327","https://www.yesstyle.com/en/arencia-vitamin-c-booster-shot-30ml/info.html/pid.1136616200"
"2026-04-21","8","1129733663","Purito SEOUL","Mighty Bamboo Panthenol Cream","USD","23","US$ 23.00","#9","15428","https://www.yesstyle.com/en/purito-seoul-mighty-bamboo-panthenol-cream-100ml/info.html/pid.1129733663"
"2026-04-21","9","1132449411","Anua","Azelaic Acid 10 Hyaluron Redness Soothing Serum","USD","22","US$ 22.00","#10","7472","https://www.yesstyle.com/en/anua-azelaic-acid-10-hyaluron-redness-soothing-serum-30ml/info.html/pid.1132449411"
"2026-04-21","10","1105145092","Purito SEOUL","Oat-In Calming Gel Cream","USD","19.5","US$ 19.50","#11","8571","https://www.yesstyle.com/en/purito-seoul-oat-in-calming-gel-cream-100ml/info.html/pid.1105145092"
"2026-04-21","11","1133472805","APLB","Collagen EGF Peptide Sheet Mask","USD","4.26","US$ 4.26","#12","2880","https://www.yesstyle.com/en/aplb-collagen-egf-peptide-sheet-mask-25ml/info.html/pid.1133472805"
"2026-04-21","12","1077182361","SKIN1004","Madagascar Centella Light Cleansing Oil","USD","20","US$ 20.00","#13","21515","https://www.yesstyle.com/en/skin1004-madagascar-centella-light-cleansing-oil-200ml/info.html/pid.1077182361"
"2026-04-21","13","1120355496","Mary&May","Tranexamic Acid + Glutathione Eye Cream Mini","USD","4.13","US$ 4.13","#14","7473","https://www.yesstyle.com/en/mary-may-tranexamic-acid-glutathione-eye-cream-mini-12g/info.html/pid.1120355496"
"2026-04-21","14","1122974582","ROUND LAB","Birch Juice Moisturizing Sunscreen","USD","28","US$ 28.00","#15","8565","https://www.yesstyle.com/en/round-lab-birch-juice-moisturizing-sunscreen-50ml/info.html/pid.1122974582"
"2026-04-21","15","1137028002","Dr. Althea","345 Relief Cream Mini","USD","9.9","US$ 9.90","#16","424","https://www.yesstyle.com/en/dr-althea-345-relief-cream-mini-15ml/info.html/pid.1137028002"
"2026-04-21","16","1067114916","SKIN1004","Madagascar Centella Asiatica 100 Ampoule","USD","23.2","US$ 23.20","#17","17693","https://www.yesstyle.com/en/skin1004-madagascar-centella-asiatica-100-ampoule-100ml/info.html/pid.1067114916"
"2026-04-21","17","1123474314","SKIN1004","Madagascar Centella Poremizing Quick Clay Stick Mask","USD","22","US$ 22.00","#18","17168","https://www.yesstyle.com/en/skin1004-madagascar-centella-poremizing-quick-clay-stick-mask-27g/info.html/pid.1123474314"
"2026-04-21","18","1131568455","EQQUALBERRY","Vitamin Illuminating Serum","USD","24.99","US$ 24.99","#19","4969","https://www.yesstyle.com/en/eqqualberry-vitamin-illuminating-serum-30ml/info.html/pid.1131568455"
"2026-04-21","19","1126934079","KSECRET","SEOUL 1988 Serum : Retinal Liposome 2% + Black Ginseng","USD","22","US$ 22.00","#20","11037","https://www.yesstyle.com/en/ksecret-seoul-1988-serum-retinal-liposome-2-black-ginseng-30ml/info.html/pid.1126934079"
"2026-04-21","20","1132942898","Anua","Niacinamide 10 TXA 4 Serum","USD","22","US$ 22.00","#21","13400","https://www.yesstyle.com/en/anua-niacinamide-10-txa-4-serum-2024-version-30ml/info.html/pid.1132942898"
"2026-04-21","21","1052684647","COSRX","Acne Pimple Master Patch","USD","6","US$ 6.00","#22","42378","https://www.yesstyle.com/en/cosrx-acne-pimple-master-patch-24-patches/info.html/pid.1052684647"
"2026-04-21","22","1129356822","SKIN1004","Madagascar Centella Double Cleansing Duo Set","USD","32.5","US$ 32.50","#23","11744","https://www.yesstyle.com/en/skin1004-madagascar-centella-double-cleansing-duo-set-2-pcs/info.html/pid.1129356822"
"2026-04-21","23","1135801052","Dr. Althea","345 Relief Cream Mist","USD","19.9","US$ 19.90","#24","1535","https://www.yesstyle.com/en/dr-althea-345-relief-cream-mist-100ml/info.html/pid.1135801052"
"2026-04-21","24","1114255822","Beauty of Joseon","Revive Eye Serum","USD","17","US$ 17.00","#25","14030","https://www.yesstyle.com/en/beauty-of-joseon-revive-eye-serum-30ml/info.html/pid.1114255822"
"2026-04-21","25","1135350144","JUMISO","Niacinamide 20 Serum","USD","24","US$ 24.00","#26","3142","https://www.yesstyle.com/en/jumiso-niacinamide-20-serum-40ml/info.html/pid.1135350144"
"2026-04-21","26","1107199865","SKIN1004","Madagascar Centella Tone Brightening Capsule Ampoule Jumbo","USD","21.4","US$ 21.40","#27","16088","https://www.yesstyle.com/en/skin1004-madagascar-centella-tone-brightening-capsule-ampoule-jumbo/info.html/pid.1107199865"
"2026-04-21","27","1129886159","medicube","PDRN Pink Peptide Serum","USD","32.25","US$ 32.25","#28","5603","https://www.yesstyle.com/en/medicube-pdrn-pink-peptide-serum-30ml/info.html/pid.1129886159"
"2026-04-21","28","1129356823","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Jumbo","USD","23.3","US$ 23.30","#29","6316","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-jumbo/info.html/pid.1129356823"
"2026-04-21","29","1133472802","APLB","Retinol Vitamin C Vitamin E Sheet Mask","USD","4.26","US$ 4.26","#30","2125","https://www.yesstyle.com/en/aplb-retinol-vitamin-c-vitamin-e-sheet-mask-25ml/info.html/pid.1133472802"
"2026-04-21","30","1078919512","AXIS-Y","Dark Spot Correcting Glow Serum","USD","24","US$ 24.00","#31","11772","https://www.yesstyle.com/en/axis-y-dark-spot-correcting-glow-serum-50ml/info.html/pid.1078919512"
"2026-04-21","31","1135111653","medicube","Zero Pore Pad 2.0","USD","31.29","US$ 31.29","#32","4743","https://www.yesstyle.com/en/medicube-zero-pore-pad-2-0-70-pads/info.html/pid.1135111653"
"2026-04-21","32","1077182367","SKIN1004","Madagascar Centella Ampoule Foam","USD","15.8","US$ 15.80","#33","11788","https://www.yesstyle.com/en/skin1004-madagascar-centella-ampoule-foam-125ml/info.html/pid.1077182367"
"2026-04-21","33","1118873672","Beauty of Joseon","Relief Sun Mini","USD","3.8","US$ 3.80","#34","4814","https://www.yesstyle.com/en/beauty-of-joseon-relief-sun-mini-10ml/info.html/pid.1118873672"
"2026-04-21","34","1123535471","House of Hur","Weightless Sun Fluid","USD","19","US$ 19.00","#35","1839","https://www.yesstyle.com/en/house-of-hur-weightless-sun-fluid-50ml/info.html/pid.1123535471"
"2026-04-21","35","1103240430","LANEIGE","Lip Sleeping Mask EX Mini","USD","5.3","US$ 5.30","#36","16709","https://www.yesstyle.com/en/laneige-lip-sleeping-mask-ex-mini-berry-3g/info.html/pid.1103240430"
"2026-04-21","36","1133101178","Arencia","Fresh Green Rice Mochi Cleanser","USD","23.17","US$ 23.17","#37","5076","https://www.yesstyle.com/en/arencia-fresh-green-rice-mochi-cleanser-120g/info.html/pid.1133101178"
"2026-04-21","37","1120888779","haruharu wonder","Black Rice Moisture Airyfit Sunscreen","USD","22","US$ 22.00","#38","4430","https://www.yesstyle.com/en/haruharu-wonder-black-rice-moisture-airyfit-sunscreen-50ml/info.html/pid.1120888779"
"2026-04-21","38","1065077575","iUNIK","Beta-Glucan Power Moisture Serum","USD","21","US$ 21.00","#39","4565","https://www.yesstyle.com/en/iunik-beta-glucan-power-moisture-serum-50ml/info.html/pid.1065077575"
"2026-04-21","39","1135010030","celimax","The Vita-A Retinal Shot Tightening Booster Bundle Set","USD","48","US$ 48.00","#40","9771","https://www.yesstyle.com/en/celimax-the-vita-a-retinal-shot-tightening-booster-bundle-set-2-pcs/info.html/pid.1135010030"
"2026-04-21","40","1120208637","SKIN1004","Madagascar Centella Probio-Cica Enrich Cream","USD","19","US$ 19.00","#41","6696","https://www.yesstyle.com/en/skin1004-madagascar-centella-probio-cica-enrich-cream-50ml/info.html/pid.1120208637"
"2026-04-21","41","1126837080","Shiseido","Fino Premium Touch Hair Mask","USD","16.6","US$ 16.60","#42","14717","https://www.yesstyle.com/en/shiseido-fino-premium-touch-hair-mask/info.html/pid.1126837080"
